# BUFFER_SIZE,STRATEGY,REFERENCE_COUNT,HIT_RATE
4,FIFO,20,0.08695652173913043
4,LRU,20,0.08695652173913043
4,MRU,20,0.043478260869565216
4,FIFO,50,0.018867924528301886
4,LRU,50,0.018867924528301886
4,MRU,50,0.0
4,FIFO,80,0.03614457831325301
4,LRU,80,0.03614457831325301
4,MRU,80,0.012048192771084338
4,FIFO,100,0.0
4,LRU,100,0.0
4,MRU,100,0.0
4,FIFO,120,0.024390243902439025
4,LRU,120,0.024390243902439025
4,MRU,120,0.016260162601626018
20,FIFO,20,0.17391304347826086
20,LRU,20,0.17391304347826086
20,MRU,20,0.17391304347826086
20,FIFO,50,0.09433962264150944
20,LRU,50,0.09433962264150944
20,MRU,50,0.07547169811320754
20,FIFO,80,0.10843373493975904
20,LRU,80,0.12048192771084337
20,MRU,80,0.10843373493975904
20,FIFO,100,0.10679611650485436
20,LRU,100,0.10679611650485436
20,MRU,100,0.08737864077669903
20,FIFO,120,0.11382113821138211
20,LRU,120,0.11382113821138211
20,MRU,120,0.024390243902439025
80,FIFO,20,0.21739130434782608
80,LRU,20,0.21739130434782608
80,MRU,20,0.21739130434782608
80,FIFO,50,0.1509433962264151
80,LRU,50,0.1509433962264151
80,MRU,50,0.1509433962264151
80,FIFO,80,0.2289156626506024
80,LRU,80,0.2289156626506024
80,MRU,80,0.2289156626506024
80,FIFO,100,0.14563106796116504
80,LRU,100,0.14563106796116504
80,MRU,100,0.14563106796116504
80,FIFO,120,0.1951219512195122
80,LRU,120,0.1951219512195122
80,MRU,120,0.1951219512195122
120,FIFO,20,0.13043478260869565
120,LRU,20,0.13043478260869565
120,MRU,20,0.13043478260869565
120,FIFO,50,0.18867924528301888
120,LRU,50,0.18867924528301888
120,MRU,50,0.18867924528301888
120,FIFO,80,0.24096385542168675
120,LRU,80,0.24096385542168675
120,MRU,80,0.24096385542168675
120,FIFO,100,0.24271844660194175
120,LRU,100,0.24271844660194175
120,MRU,100,0.24271844660194175
120,FIFO,120,0.23577235772357724
120,LRU,120,0.23577235772357724
120,MRU,120,0.23577235772357724
