# ITERATIONS,DIFERENCIA,STRATEGY,HIT_RATE
1,-10,FIFO,0.0
1,-10,LRU,0.0
1,-10,MRU,0.0
1,-9,FIFO,0.0
1,-9,LRU,0.0
1,-9,MRU,0.0
1,-8,FIFO,0.0
1,-8,LRU,0.0
1,-8,MRU,0.0
1,-7,FIFO,0.0
1,-7,LRU,0.0
1,-7,MRU,0.0
1,-6,FIFO,0.0
1,-6,LRU,0.0
1,-6,MRU,0.0
1,-5,FIFO,0.0
1,-5,LRU,0.0
1,-5,MRU,0.0
1,-4,FIFO,0.0
1,-4,LRU,0.0
1,-4,MRU,0.0
1,-3,FIFO,0.0
1,-3,LRU,0.0
1,-3,MRU,0.0
1,-2,FIFO,0.0
1,-2,LRU,0.0
1,-2,MRU,0.0
1,-1,FIFO,0.0
1,-1,LRU,0.0
1,-1,MRU,0.0
1,0,FIFO,0.0
1,0,LRU,0.0
1,0,MRU,0.0
1,1,FIFO,0.0
1,1,LRU,0.0
1,1,MRU,0.0
1,2,FIFO,0.0
1,2,LRU,0.0
1,2,MRU,0.0
1,3,FIFO,0.0
1,3,LRU,0.0
1,3,MRU,0.0
1,4,FIFO,0.0
1,4,LRU,0.0
1,4,MRU,0.0
1,5,FIFO,0.0
1,5,LRU,0.0
1,5,MRU,0.0
1,6,FIFO,0.0
1,6,LRU,0.0
1,6,MRU,0.0
1,7,FIFO,0.0
1,7,LRU,0.0
1,7,MRU,0.0
1,8,FIFO,0.0
1,8,LRU,0.0
1,8,MRU,0.0
1,9,FIFO,0.0
1,9,LRU,0.0
1,9,MRU,0.0
1,10,FIFO,0.0
1,10,LRU,0.0
1,10,MRU,0.0
2,-10,FIFO,0.45
2,-10,LRU,0.45
2,-10,MRU,0.45
2,-9,FIFO,0.4523809523809524
2,-9,LRU,0.4523809523809524
2,-9,MRU,0.4523809523809524
2,-8,FIFO,0.45454545454545453
2,-8,LRU,0.45454545454545453
2,-8,MRU,0.45454545454545453
2,-7,FIFO,0.45652173913043476
2,-7,LRU,0.45652173913043476
2,-7,MRU,0.45652173913043476
2,-6,FIFO,0.4583333333333333
2,-6,LRU,0.4583333333333333
2,-6,MRU,0.4583333333333333
2,-5,FIFO,0.46
2,-5,LRU,0.46
2,-5,MRU,0.46
2,-4,FIFO,0.46153846153846156
2,-4,LRU,0.46153846153846156
2,-4,MRU,0.46153846153846156
2,-3,FIFO,0.46296296296296297
2,-3,LRU,0.46296296296296297
2,-3,MRU,0.46296296296296297
2,-2,FIFO,0.4642857142857143
2,-2,LRU,0.4642857142857143
2,-2,MRU,0.4642857142857143
2,-1,FIFO,0.46551724137931033
2,-1,LRU,0.0
2,-1,MRU,0.46551724137931033
2,0,FIFO,0.4666666666666667
2,0,LRU,0.0
2,0,MRU,0.4666666666666667
2,1,FIFO,0.0
2,1,LRU,0.0
2,1,MRU,0.45161290322580644
2,2,FIFO,0.0
2,2,LRU,0.0
2,2,MRU,0.4375
2,3,FIFO,0.0
2,3,LRU,0.0
2,3,MRU,0.42424242424242425
2,4,FIFO,0.0
2,4,LRU,0.0
2,4,MRU,0.4117647058823529
2,5,FIFO,0.0
2,5,LRU,0.0
2,5,MRU,0.4
2,6,FIFO,0.0
2,6,LRU,0.0
2,6,MRU,0.3888888888888889
2,7,FIFO,0.0
2,7,LRU,0.0
2,7,MRU,0.3783783783783784
2,8,FIFO,0.0
2,8,LRU,0.0
2,8,MRU,0.3684210526315789
2,9,FIFO,0.0
2,9,LRU,0.0
2,9,MRU,0.358974358974359
2,10,FIFO,0.0
2,10,LRU,0.0
2,10,MRU,0.35
5,-10,FIFO,0.72
5,-10,LRU,0.72
5,-10,MRU,0.72
5,-9,FIFO,0.7238095238095238
5,-9,LRU,0.7238095238095238
5,-9,MRU,0.7238095238095238
5,-8,FIFO,0.7272727272727273
5,-8,LRU,0.7272727272727273
5,-8,MRU,0.7272727272727273
5,-7,FIFO,0.7304347826086957
5,-7,LRU,0.7304347826086957
5,-7,MRU,0.7304347826086957
5,-6,FIFO,0.7333333333333333
5,-6,LRU,0.7333333333333333
5,-6,MRU,0.7333333333333333
5,-5,FIFO,0.552
5,-5,LRU,0.736
5,-5,MRU,0.736
5,-4,FIFO,0.5538461538461539
5,-4,LRU,0.7384615384615385
5,-4,MRU,0.7384615384615385
5,-3,FIFO,0.5555555555555556
5,-3,LRU,0.7407407407407407
5,-3,MRU,0.7407407407407407
5,-2,FIFO,0.5571428571428572
5,-2,LRU,0.7428571428571429
5,-2,MRU,0.7428571428571429
5,-1,FIFO,0.3724137931034483
5,-1,LRU,0.0
5,-1,MRU,0.7448275862068966
5,0,FIFO,0.37333333333333335
5,0,LRU,0.0
5,0,MRU,0.7466666666666667
5,1,FIFO,0.0
5,1,LRU,0.0
5,1,MRU,0.7225806451612903
5,2,FIFO,0.0
5,2,LRU,0.0
5,2,MRU,0.7
5,3,FIFO,0.0
5,3,LRU,0.0
5,3,MRU,0.6787878787878788
5,4,FIFO,0.0
5,4,LRU,0.0
5,4,MRU,0.6588235294117647
5,5,FIFO,0.0
5,5,LRU,0.0
5,5,MRU,0.64
5,6,FIFO,0.0
5,6,LRU,0.0
5,6,MRU,0.6222222222222222
5,7,FIFO,0.0
5,7,LRU,0.0
5,7,MRU,0.6054054054054054
5,8,FIFO,0.0
5,8,LRU,0.0
5,8,MRU,0.5894736842105263
5,9,FIFO,0.0
5,9,LRU,0.0
5,9,MRU,0.5743589743589743
5,10,FIFO,0.0
5,10,LRU,0.0
5,10,MRU,0.56
10,-10,FIFO,0.72
10,-10,LRU,0.81
10,-10,MRU,0.81
10,-9,FIFO,0.7238095238095238
10,-9,LRU,0.8142857142857143
10,-9,MRU,0.8142857142857143
10,-8,FIFO,0.7272727272727273
10,-8,LRU,0.8181818181818182
10,-8,MRU,0.8181818181818182
10,-7,FIFO,0.7304347826086957
10,-7,LRU,0.8217391304347826
10,-7,MRU,0.8217391304347826
10,-6,FIFO,0.7333333333333333
10,-6,LRU,0.825
10,-6,MRU,0.825
10,-5,FIFO,0.644
10,-5,LRU,0.828
10,-5,MRU,0.828
10,-4,FIFO,0.6461538461538462
10,-4,LRU,0.8307692307692308
10,-4,MRU,0.8307692307692308
10,-3,FIFO,0.5555555555555556
10,-3,LRU,0.8333333333333334
10,-3,MRU,0.8333333333333334
10,-2,FIFO,0.5571428571428572
10,-2,LRU,0.8357142857142857
10,-2,MRU,0.8357142857142857
10,-1,FIFO,0.46551724137931033
10,-1,LRU,0.0
10,-1,MRU,0.8379310344827586
10,0,FIFO,0.4666666666666667
10,0,LRU,0.0
10,0,MRU,0.84
10,1,FIFO,0.0
10,1,LRU,0.0
10,1,MRU,0.8129032258064516
10,2,FIFO,0.0
10,2,LRU,0.0
10,2,MRU,0.7875
10,3,FIFO,0.0
10,3,LRU,0.0
10,3,MRU,0.7636363636363637
10,4,FIFO,0.0
10,4,LRU,0.0
10,4,MRU,0.7411764705882353
10,5,FIFO,0.0
10,5,LRU,0.0
10,5,MRU,0.72
10,6,FIFO,0.0
10,6,LRU,0.0
10,6,MRU,0.7
10,7,FIFO,0.0
10,7,LRU,0.0
10,7,MRU,0.6810810810810811
10,8,FIFO,0.0
10,8,LRU,0.0
10,8,MRU,0.6631578947368421
10,9,FIFO,0.0
10,9,LRU,0.0
10,9,MRU,0.6461538461538462
10,10,FIFO,0.0
10,10,LRU,0.0
10,10,MRU,0.63
